heading,desc
Matched System,"Our evaporator coils are specially designed and sized to match AirEase heating and cooling products. Removable cabinets and a single drain pan offer quick access and easy clean up for lifelong performance efficiencies. Plus, when you add a matching coil, you get a system that runs at peak performance while maximizing efficiency."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Fully insulated cabinet,Wall-to-wall insulation ensures less than 2% air leakage increasing efficiency and energy savings.
Matched System,"Our evaporator coils are specially designed and sized to match AirEase heating and cooling products. Removable cabinets and a single drain pan offer quick access and easy clean up for lifelong performance efficiencies. Plus, when you add a matching coil, you get a system that runs at peak performance while maximizing efficiency."
Fully insulated cabinet,Wall-to-wall insulation ensures less than 2% air leakage increasing efficiency and energy savings.
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Omniguard® Total Corrosion Protection,"Our enhanced evaporator coil helps protect against leaks and corrosion for long- term performance. A fully-insulated cabinet and pre-bent duct flanges with rolled edges allow for a tight fit to existing ductwork, preventing heating and cooling losses."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Warranty,AirEase’s commitment to a better product is backed by a 10-Year Limited Warranty on parts.
Omniguard® Total Corrosion Protection,"Our enhanced evaporator coil helps protect against leaks and corrosion for long- term performance. A fully-insulated cabinet and pre-bent duct flanges with rolled edges allow for a tight fit to existing ductwork, preventing heating and cooling losses."
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Matched System,"Our evaporator coils are specially designed and sized to match AirEase heating and cooling products. Removable cabinets and a single drain pan offer quick access and easy clean up for lifelong performance efficiencies. Plus, when you add a matching coil, you get a system that runs at peak performance while maximizing efficiency."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
Fully insulated cabinet,Wall-to-wall insulation ensures less than 2% air leakage increasing efficiency and energy savings.
Matched System,"Our evaporator coils are specially designed and sized to match AirEase heating and cooling products. Removable cabinets and a single drain pan offer quick access and easy clean up for lifelong performance efficiencies. Plus, when you add a matching coil, you get a system that runs at peak performance while maximizing efficiency."
Fully insulated cabinet,Wall-to-wall insulation ensures less than 2% air leakage increasing efficiency and energy savings.
Anti-Microbial Protection,"Drain pans are infused with an antibacterial agent that destabilizes the membrane of microorganism cells, disrupting the cellular function of odor-causing mold and bacteria so that they can no longer grow or reproduce."
Omniguard® Total Corrosion Protection,"Our enhanced evaporator coil helps protect against leaks and corrosion for long- term performance. A fully-insulated cabinet and pre-bent duct flanges with rolled edges allow for a tight fit to existing ductwork, preventing heating and cooling losses."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
